symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl
Hmox1	14473.6287504428	1.41425173853775	0.0867616630370837	2.61750343900402e-61	4.01001526855416e-57	ENSMUSG00000005413
Ctsl	57264.5924145599	1.16692829500635	0.0911518839967019	1.64317017022432e-38	1.25866835039183e-34	ENSMUSG00000021477
Thbs1	18327.2898054601	-1.05886266837884	0.0833747623351808	9.51497520265478e-38	4.85898067015571e-34	ENSMUSG00000040152
Dusp4	1294.17048217034	1.38354087668692	0.113189626065144	7.28783878708058e-36	2.79124225545186e-32	ENSMUSG00000031530
Bc1	4102.43015193873	1.35340074821522	0.110905359587634	1.12461387776824e-35	3.44581692148188e-32	ENSMUSG00000115783
S100a8	4189.14811880105	1.8850397570613	0.1595810221986	2.66358620008447e-35	6.80102343088235e-32	ENSMUSG00000056054
Cxcl1	1946.2463547627	1.17093880970925	0.0961709826721381	4.20707595500724e-35	9.2074862329587e-32	ENSMUSG00000029380
Ier3	10293.7908663182	1.06553669661702	0.0876405399029094	8.12192545716937e-35	1.55534872504793e-31	ENSMUSG00000003541
Anln	1650.80179435753	-1.16565356979214	0.0986875545811568	3.48267975992417e-33	5.92829488022648e-30	ENSMUSG00000036777
Slpi	4064.34161286245	1.23562868393414	0.106663246673708	3.58500497570447e-32	5.49222762277925e-29	ENSMUSG00000017002
Fth1	10104.8275223706	1.57563954713181	0.139474883116783	1.07428585435256e-31	1.49618720806193e-28	ENSMUSG00000024661
Gsto1	17936.6310743245	1.29705384151084	0.113324660204166	1.28439239113937e-31	1.63974095268793e-28	ENSMUSG00000025068
Col7a1	5021.27420754728	-1.16133059346512	0.101134667082316	1.66978071268978e-31	1.9677723475698e-28	ENSMUSG00000025650
Mcm6	1689.29711260486	-1.14891296029599	0.102141922483658	2.59121540389149e-30	2.83552999911554e-27	ENSMUSG00000026355
Tsc22d1	2406.56342546504	0.988477504056836	0.0883866827661509	9.78362633029699e-30	9.99234369200999e-27	ENSMUSG00000022010
Sprr2g	998.44864391752	1.49777055114113	0.138333218106617	3.56260598093142e-29	3.41119522674183e-26	ENSMUSG00000046203
Timp3	4586.01187827525	-0.920276773338217	0.0830922689308991	3.85201711582047e-29	3.47134718908056e-26	ENSMUSG00000020044
Uhrf1	1116.6127239908	-1.3300577157536	0.122738343308991	9.7707127330327e-29	8.31596217055894e-26	ENSMUSG00000001228
Ptges	3215.77111513739	1.01656426822922	0.0943851430351112	8.6330305928745e-28	6.96094887804407e-25	ENSMUSG00000050737
Defb14	598.362476459796	1.73478366684313	0.168249292817559	1.43154885116673e-27	1.09656641999371e-24	ENSMUSG00000046354
Mal	4636.2658513383	1.65670649730965	0.162465331809075	8.41601812781685e-27	6.13968560562639e-24	ENSMUSG00000027375
Slc1a1	981.008434322474	1.56663190412185	0.157407461591083	2.00497765123942e-25	1.39619352804491e-22	ENSMUSG00000024935
Prss23	5303.29411784567	-1.11529663680868	0.10996519122807	4.46491096609722e-25	2.97401895654824e-22	ENSMUSG00000039405
Adamts1	7049.55810631718	-0.98329718001916	0.0980463517098909	2.24537548915855e-24	1.43329802057954e-21	ENSMUSG00000022893
Slc7a11	11867.1574736463	1.07971487445681	0.109191194635906	6.68533073948589e-24	4.09677067715695e-21	ENSMUSG00000027737
Crct1	5405.83771402335	1.38927697674025	0.143429052971082	9.7963427758113e-24	5.77230658943958e-21	ENSMUSG00000027913
Ccna2	945.257349077267	-1.41332196634221	0.14632177917263	1.08983070815535e-23	6.18378016627406e-21	ENSMUSG00000027715
Mcm5	1710.03332204732	-1.04667488362343	0.10714866701901	2.47441690985042e-23	1.35385953781816e-20	ENSMUSG00000005410
mt-Rnr1	6187.52774781712	0.763301825809434	0.0797718901808487	2.13440713585888e-22	1.127555769702e-19	ENSMUSG00000064337
Tnfaip2	769.722987616477	1.47086371110667	0.160284551094667	7.1264753878494e-22	3.6392534313951e-19	ENSMUSG00000021281
S100a7a	759.568309868191	1.79158222702875	0.201296076465012	8.03192883039735e-22	3.96932740908669e-19	ENSMUSG00000063767
Rnf11	10507.8646476036	0.80417370973353	0.0855317521873263	1.17305274580184e-21	5.61599002052633e-19	ENSMUSG00000028557
Kif26b	442.584973824985	-2.03306498512806	0.235764426358383	2.15668838417823e-21	1.00122624380638e-18	ENSMUSG00000026494
Tchhl1	341.296793533418	1.71742713713955	0.194743167042369	2.87018599253583e-21	1.29327204134262e-18	ENSMUSG00000027908
Ftl1	1274.63412074485	0.966859371614381	0.105001458909716	6.65616499676314e-21	2.91349850715461e-18	ENSMUSG00000050708
Sprr1b	4023.72371783493	0.906491441317333	0.0983614906652597	6.89621103674833e-21	2.93472091897179e-18	ENSMUSG00000048455
Sqstm1	19622.6429885337	0.825950627746287	0.0897578316029132	7.87587120844125e-21	3.2610364030627e-18	ENSMUSG00000015837
Hopx	4674.63590426842	1.08117032605492	0.118215518957422	8.25139195515252e-21	3.32661380928781e-18	ENSMUSG00000059325
Cdk1	1528.94112442711	-1.04780311445664	0.115856725564662	2.37151663602212e-20	9.31580381124586e-18	ENSMUSG00000019942
Kif11	897.401215236831	-1.24291566017008	0.139081112360197	2.63723785691628e-20	1.01006209919894e-17	ENSMUSG00000012443
Il1a	1979.86777753978	0.934624862342896	0.103310451887189	3.13307591626589e-20	1.17070056188277e-17	ENSMUSG00000027399
Plk3	2098.29802440327	0.815257977427119	0.0902036038266406	3.48139380794975e-20	1.26987983661405e-17	ENSMUSG00000028680
